51420;CAJITAS GUARDADO GIZEH;x6u $3100c/u;18600;1;0;1101;NULL;NULL;12/12/2025 04:31
51422;MASTER;$1440c/u;14400;1;0;0;NULL;NULL;12/12/2025 04:31
51424;RED POINT Com?n;$1640c/u;16400;1;0;0;NULL;NULL;12/12/2025 04:31
51426;RED POINT Mentol;$1640c/u;16400;1;0;0;NULL;NULL;12/12/2025 04:31
51428;RED POINT BOX;$1600c/u;16000;1;0;0;NULL;NULL;12/12/2025 04:31
51430;RED POINT DIEZ;$860/u;8600;1;0;0;NULL;NULL;12/12/2025 04:31
51432;RED POINT ON BOX;1735c/u;17350;1;0;0;NULL;NULL;12/12/2025 04:31
51434;MILENIO BOX Red;$1450c/u;14500;1;0;0;NULL;NULL;12/12/2025 04:31
51436;MILENIO BOX Gold;$1450c/u;14500;1;0;0;NULL;NULL;12/12/2025 04:31
51438;MILENIO BOX Menta;$1450c/u;14500;1;0;0;NULL;NULL;12/12/2025 04:31
51440;DOLCHESTER BOX;1400c/u;14000;1;0;0;NULL;NULL;12/12/2025 04:31
51442;PIER BOX Com?n;1400c/u;14000;1;0;0;NULL;NULL;12/12/2025 04:31
51444;PIER BOX Mentolado;1400c/u;14000;1;0;0;NULL;NULL;12/12/2025 04:31
51446;KIEL Com?n;$1240c/u;12400;1;0;0;NULL;NULL;12/12/2025 04:31
51448;KIEL Box;$1240c/u;12400;1;0;0;NULL;NULL;12/12/2025 04:31
51450;MELBOURNE Com?n;$1290c/u;12900;1;0;0;NULL;NULL;12/12/2025 04:31
51452;MELBOURNE Suave;$1290c/u;12900;1;0;0;NULL;NULL;12/12/2025 04:31
